"","name","description","page"
"423","gmorhua_homolog_chrom_start","Cod chromosome/scaffold start (bp)","homologs"
"424","gmorhua_homolog_chrom_end","Cod chromosome/scaffold end (bp)","homologs"
"425","gmorhua_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"426","gmorhua_homolog_subtype","Last common ancestor with Cod","homologs"
"427","gmorhua_homolog_orthology_type","Cod homology type","homologs"
"428","gmorhua_homolog_perc_id","%id. target Cod gene identical to query gene","homologs"
"429","gmorhua_homolog_perc_id_r1","%id. query gene identical to target Cod gene","homologs"
"430","gmorhua_homolog_goc_score","Cod Gene-order conservation score","homologs"
"431","gmorhua_homolog_wga_coverage","Cod Whole-genome alignment coverage","homologs"
"432","gmorhua_homolog_dn","dN with Cod","homologs"
"433","gmorhua_homolog_ds","dS with Cod","homologs"
"434","gmorhua_homolog_orthology_confidence","Cod orthology confidence [0 low, 1 high]","homologs"
"435","lchalumnae_homolog_ensembl_gene","Coelacanth gene stable ID","homologs"
"436","lchalumnae_homolog_associated_gene_name","Coelacanth associated gene name","homologs"
"437","lchalumnae_homolog_ensembl_peptide","Coelacanth protein or transcript stable ID","homologs"
"438","lchalumnae_homolog_chromosome","Coelacanth chromosome/scaffold name","homologs"
"439","lchalumnae_homolog_chrom_start","Coelacanth chromosome/scaffold start (bp)","homologs"
"440","lchalumnae_homolog_chrom_end","Coelacanth chromosome/scaffold end (bp)","homologs"
"441","lchalumnae_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"442","lchalumnae_homolog_subtype","Last common ancestor with Coelacanth","homologs"
"443","lchalumnae_homolog_orthology_type","Coelacanth homology type","homologs"
"444","lchalumnae_homolog_perc_id","%id. target Coelacanth gene identical to query gene","homologs"
"445","lchalumnae_homolog_perc_id_r1","%id. query gene identical to target Coelacanth gene","homologs"
"446","lchalumnae_homolog_goc_score","Coelacanth Gene-order conservation score","homologs"
"447","lchalumnae_homolog_wga_coverage","Coelacanth Whole-genome alignment coverage","homologs"
"448","lchalumnae_homolog_dn","dN with Coelacanth","homologs"
"449","lchalumnae_homolog_ds","dS with Coelacanth","homologs"
"450","lchalumnae_homolog_orthology_confidence","Coelacanth orthology confidence [0 low, 1 high]","homologs"
"451","btaurus_homolog_ensembl_gene","Cow gene stable ID","homologs"
"452","btaurus_homolog_associated_gene_name","Cow associated gene name","homologs"
"453","btaurus_homolog_ensembl_peptide","Cow protein or transcript stable ID","homologs"
"454","btaurus_homolog_chromosome","Cow chromosome/scaffold name","homologs"
"455","btaurus_homolog_chrom_start","Cow chromosome/scaffold start (bp)","homologs"
"456","btaurus_homolog_chrom_end","Cow chromosome/scaffold end (bp)","homologs"
"457","btaurus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"458","btaurus_homolog_subtype","Last common ancestor with Cow","homologs"
"459","btaurus_homolog_orthology_type","Cow homology type","homologs"
"460","btaurus_homolog_perc_id","%id. target Cow gene identical to query gene","homologs"
"461","btaurus_homolog_perc_id_r1","%id. query gene identical to target Cow gene","homologs"
"462","btaurus_homolog_goc_score","Cow Gene-order conservation score","homologs"
"463","btaurus_homolog_wga_coverage","Cow Whole-genome alignment coverage","homologs"
"464","btaurus_homolog_dn","dN with Cow","homologs"
"465","btaurus_homolog_ds","dS with Cow","homologs"
"466","btaurus_homolog_orthology_confidence","Cow orthology confidence [0 low, 1 high]","homologs"
"467","cfamiliaris_homolog_ensembl_gene","Dog gene stable ID","homologs"
"468","cfamiliaris_homolog_associated_gene_name","Dog associated gene name","homologs"
"469","cfamiliaris_homolog_ensembl_peptide","Dog protein or transcript stable ID","homologs"
"470","cfamiliaris_homolog_chromosome","Dog chromosome/scaffold name","homologs"
"471","cfamiliaris_homolog_chrom_start","Dog chromosome/scaffold start (bp)","homologs"
"472","cfamiliaris_homolog_chrom_end","Dog chromosome/scaffold end (bp)","homologs"
"473","cfamiliaris_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"474","cfamiliaris_homolog_subtype","Last common ancestor with Dog","homologs"
"475","cfamiliaris_homolog_orthology_type","Dog homology type","homologs"
"476","cfamiliaris_homolog_perc_id","%id. target Dog gene identical to query gene","homologs"
"477","cfamiliaris_homolog_perc_id_r1","%id. query gene identical to target Dog gene","homologs"
"478","cfamiliaris_homolog_goc_score","Dog Gene-order conservation score","homologs"
"479","cfamiliaris_homolog_wga_coverage","Dog Whole-genome alignment coverage","homologs"
"480","cfamiliaris_homolog_dn","dN with Dog","homologs"
"481","cfamiliaris_homolog_ds","dS with Dog","homologs"
"482","cfamiliaris_homolog_orthology_confidence","Dog orthology confidence [0 low, 1 high]","homologs"
"483","ttruncatus_homolog_ensembl_gene","Dolphin gene stable ID","homologs"
"484","ttruncatus_homolog_associated_gene_name","Dolphin associated gene name","homologs"
"485","ttruncatus_homolog_ensembl_peptide","Dolphin protein or transcript stable ID","homologs"
"486","ttruncatus_homolog_chromosome","Dolphin chromosome/scaffold name","homologs"
"487","ttruncatus_homolog_chrom_start","Dolphin chromosome/scaffold start (bp)","homologs"
"488","ttruncatus_homolog_chrom_end","Dolphin chromosome/scaffold end (bp)","homologs"
"489","ttruncatus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"490","ttruncatus_homolog_subtype","Last common ancestor with Dolphin","homologs"
"491","ttruncatus_homolog_orthology_type","Dolphin homology type","homologs"
"492","ttruncatus_homolog_perc_id","%id. target Dolphin gene identical to query gene","homologs"
"493","ttruncatus_homolog_perc_id_r1","%id. query gene identical to target Dolphin gene","homologs"
"494","ttruncatus_homolog_goc_score","Dolphin Gene-order conservation score","homologs"
"495","ttruncatus_homolog_wga_coverage","Dolphin Whole-genome alignment coverage","homologs"
"496","ttruncatus_homolog_dn","dN with Dolphin","homologs"
"497","ttruncatus_homolog_ds","dS with Dolphin","homologs"
"498","ttruncatus_homolog_orthology_confidence","Dolphin orthology confidence [0 low, 1 high]","homologs"
"499","aplatyrhynchos_homolog_ensembl_gene","Duck gene stable ID","homologs"
"500","aplatyrhynchos_homolog_associated_gene_name","Duck associated gene name","homologs"
"501","aplatyrhynchos_homolog_ensembl_peptide","Duck protein or transcript stable ID","homologs"
"502","aplatyrhynchos_homolog_chromosome","Duck chromosome/scaffold name","homologs"
"503","aplatyrhynchos_homolog_chrom_start","Duck chromosome/scaffold start (bp)","homologs"
"504","aplatyrhynchos_homolog_chrom_end","Duck chromosome/scaffold end (bp)","homologs"
"505","aplatyrhynchos_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"506","aplatyrhynchos_homolog_subtype","Last common ancestor with Duck","homologs"
"507","aplatyrhynchos_homolog_orthology_type","Duck homology type","homologs"
"508","aplatyrhynchos_homolog_perc_id","%id. target Duck gene identical to query gene","homologs"
"509","aplatyrhynchos_homolog_perc_id_r1","%id. query gene identical to target Duck gene","homologs"
"510","aplatyrhynchos_homolog_goc_score","Duck Gene-order conservation score","homologs"
"511","aplatyrhynchos_homolog_wga_coverage","Duck Whole-genome alignment coverage","homologs"
"512","aplatyrhynchos_homolog_dn","dN with Duck","homologs"
"513","aplatyrhynchos_homolog_ds","dS with Duck","homologs"
"514","aplatyrhynchos_homolog_orthology_confidence","Duck orthology confidence [0 low, 1 high]","homologs"
"515","lafricana_homolog_ensembl_gene","Elephant gene stable ID","homologs"
"516","lafricana_homolog_associated_gene_name","Elephant associated gene name","homologs"
"517","lafricana_homolog_ensembl_peptide","Elephant protein or transcript stable ID","homologs"
"518","lafricana_homolog_chromosome","Elephant chromosome/scaffold name","homologs"
"519","lafricana_homolog_chrom_start","Elephant chromosome/scaffold start (bp)","homologs"
"520","lafricana_homolog_chrom_end","Elephant chromosome/scaffold end (bp)","homologs"
"521","lafricana_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"522","lafricana_homolog_subtype","Last common ancestor with Elephant","homologs"
"523","lafricana_homolog_orthology_type","Elephant homology type","homologs"
"524","lafricana_homolog_perc_id","%id. target Elephant gene identical to query gene","homologs"
"525","lafricana_homolog_perc_id_r1","%id. query gene identical to target Elephant gene","homologs"
"526","lafricana_homolog_goc_score","Elephant Gene-order conservation score","homologs"
"527","lafricana_homolog_wga_coverage","Elephant Whole-genome alignment coverage","homologs"
"528","lafricana_homolog_dn","dN with Elephant","homologs"
"529","lafricana_homolog_ds","dS with Elephant","homologs"
"530","lafricana_homolog_orthology_confidence","Elephant orthology confidence [0 low, 1 high]","homologs"
"531","mfuro_homolog_ensembl_gene","Ferret gene stable ID","homologs"
"532","mfuro_homolog_associated_gene_name","Ferret associated gene name","homologs"
"533","mfuro_homolog_ensembl_peptide","Ferret protein or transcript stable ID","homologs"
"534","mfuro_homolog_chromosome","Ferret chromosome/scaffold name","homologs"
"535","mfuro_homolog_chrom_start","Ferret chromosome/scaffold start (bp)","homologs"
"536","mfuro_homolog_chrom_end","Ferret chromosome/scaffold end (bp)","homologs"
"537","mfuro_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"538","mfuro_homolog_subtype","Last common ancestor with Ferret","homologs"
"539","mfuro_homolog_orthology_type","Ferret homology type","homologs"
"540","mfuro_homolog_perc_id","%id. target Ferret gene identical to query gene","homologs"
"541","mfuro_homolog_perc_id_r1","%id. query gene identical to target Ferret gene","homologs"
"542","mfuro_homolog_goc_score","Ferret Gene-order conservation score","homologs"
"543","mfuro_homolog_wga_coverage","Ferret Whole-genome alignment coverage","homologs"
"544","mfuro_homolog_dn","dN with Ferret","homologs"
"545","mfuro_homolog_ds","dS with Ferret","homologs"
"546","mfuro_homolog_orthology_confidence","Ferret orthology confidence [0 low, 1 high]","homologs"
"547","falbicollis_homolog_ensembl_gene","Flycatcher gene stable ID","homologs"
"548","falbicollis_homolog_associated_gene_name","Flycatcher associated gene name","homologs"
"549","falbicollis_homolog_ensembl_peptide","Flycatcher protein or transcript stable ID","homologs"
"550","falbicollis_homolog_chromosome","Flycatcher chromosome/scaffold name","homologs"
"551","falbicollis_homolog_chrom_start","Flycatcher chromosome/scaffold start (bp)","homologs"
"552","falbicollis_homolog_chrom_end","Flycatcher chromosome/scaffold end (bp)","homologs"
"553","falbicollis_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"554","falbicollis_homolog_subtype","Last common ancestor with Flycatcher","homologs"
"555","falbicollis_homolog_orthology_type","Flycatcher homology type","homologs"
"556","falbicollis_homolog_perc_id","%id. target Flycatcher gene identical to query gene","homologs"
"557","falbicollis_homolog_perc_id_r1","%id. query gene identical to target Flycatcher gene","homologs"
"558","falbicollis_homolog_goc_score","Flycatcher Gene-order conservation score","homologs"
"559","falbicollis_homolog_wga_coverage","Flycatcher Whole-genome alignment coverage","homologs"
"560","falbicollis_homolog_dn","dN with Flycatcher","homologs"
"561","falbicollis_homolog_ds","dS with Flycatcher","homologs"
"562","falbicollis_homolog_orthology_confidence","Flycatcher orthology confidence [0 low, 1 high]","homologs"
"563","dmelanogaster_homolog_ensembl_gene","Fruitfly gene stable ID","homologs"
"564","dmelanogaster_homolog_associated_gene_name","Fruitfly associated gene name","homologs"
"565","dmelanogaster_homolog_ensembl_peptide","Fruitfly protein or transcript stable ID","homologs"
"566","dmelanogaster_homolog_chromosome","Fruitfly chromosome/scaffold name","homologs"
"567","dmelanogaster_homolog_chrom_start","Fruitfly chromosome/scaffold start (bp)","homologs"
"568","dmelanogaster_homolog_chrom_end","Fruitfly chromosome/scaffold end (bp)","homologs"
"569","dmelanogaster_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"570","dmelanogaster_homolog_subtype","Last common ancestor with Fruitfly","homologs"
"571","dmelanogaster_homolog_orthology_type","Fruitfly homology type","homologs"
"572","dmelanogaster_homolog_perc_id","%id. target Fruitfly gene identical to query gene","homologs"
"573","dmelanogaster_homolog_perc_id_r1","%id. query gene identical to target Fruitfly gene","homologs"
"574","dmelanogaster_homolog_goc_score","Fruitfly Gene-order conservation score","homologs"
"575","dmelanogaster_homolog_wga_coverage","Fruitfly Whole-genome alignment coverage","homologs"
"576","dmelanogaster_homolog_dn","dN with Fruitfly","homologs"
"577","dmelanogaster_homolog_ds","dS with Fruitfly","homologs"
"578","dmelanogaster_homolog_orthology_confidence","Fruitfly orthology confidence [0 low, 1 high]","homologs"
"579","trubripes_homolog_ensembl_gene","Fugu gene stable ID","homologs"
"580","trubripes_homolog_associated_gene_name","Fugu associated gene name","homologs"
"581","trubripes_homolog_ensembl_peptide","Fugu protein or transcript stable ID","homologs"
"582","trubripes_homolog_chromosome","Fugu chromosome/scaffold name","homologs"
"583","trubripes_homolog_chrom_start","Fugu chromosome/scaffold start (bp)","homologs"
"584","trubripes_homolog_chrom_end","Fugu chromosome/scaffold end (bp)","homologs"
"585","trubripes_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"586","trubripes_homolog_subtype","Last common ancestor with Fugu","homologs"
"587","trubripes_homolog_orthology_type","Fugu homology type","homologs"
"588","trubripes_homolog_perc_id","%id. target Fugu gene identical to query gene","homologs"
"589","trubripes_homolog_perc_id_r1","%id. query gene identical to target Fugu gene","homologs"
"590","trubripes_homolog_goc_score","Fugu Gene-order conservation score","homologs"
"591","trubripes_homolog_wga_coverage","Fugu Whole-genome alignment coverage","homologs"
"592","trubripes_homolog_dn","dN with Fugu","homologs"
"593","trubripes_homolog_ds","dS with Fugu","homologs"
"594","trubripes_homolog_orthology_confidence","Fugu orthology confidence [0 low, 1 high]","homologs"
"595","nleucogenys_homolog_ensembl_gene","Gibbon gene stable ID","homologs"
"596","nleucogenys_homolog_associated_gene_name","Gibbon associated gene name","homologs"
"597","nleucogenys_homolog_ensembl_peptide","Gibbon protein or transcript stable ID","homologs"
"598","nleucogenys_homolog_chromosome","Gibbon chromosome/scaffold name","homologs"
"599","nleucogenys_homolog_chrom_start","Gibbon chromosome/scaffold start (bp)","homologs"
"600","nleucogenys_homolog_chrom_end","Gibbon chromosome/scaffold end (bp)","homologs"
"601","nleucogenys_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"602","nleucogenys_homolog_subtype","Last common ancestor with Gibbon","homologs"
"603","nleucogenys_homolog_orthology_type","Gibbon homology type","homologs"
"604","nleucogenys_homolog_perc_id","%id. target Gibbon gene identical to query gene","homologs"
"605","nleucogenys_homolog_perc_id_r1","%id. query gene identical to target Gibbon gene","homologs"
"606","nleucogenys_homolog_goc_score","Gibbon Gene-order conservation score","homologs"
"607","nleucogenys_homolog_wga_coverage","Gibbon Whole-genome alignment coverage","homologs"
"608","nleucogenys_homolog_dn","dN with Gibbon","homologs"
"609","nleucogenys_homolog_ds","dS with Gibbon","homologs"
"610","nleucogenys_homolog_orthology_confidence","Gibbon orthology confidence [0 low, 1 high]","homologs"
"611","ggorilla_homolog_ensembl_gene","Gorilla gene stable ID","homologs"
"612","ggorilla_homolog_associated_gene_name","Gorilla associated gene name","homologs"
"613","ggorilla_homolog_ensembl_peptide","Gorilla protein or transcript stable ID","homologs"
"614","ggorilla_homolog_chromosome","Gorilla chromosome/scaffold name","homologs"
"615","ggorilla_homolog_chrom_start","Gorilla chromosome/scaffold start (bp)","homologs"
"616","ggorilla_homolog_chrom_end","Gorilla chromosome/scaffold end (bp)","homologs"
"617","ggorilla_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"618","ggorilla_homolog_subtype","Last common ancestor with Gorilla","homologs"
"619","ggorilla_homolog_orthology_type","Gorilla homology type","homologs"
"620","ggorilla_homolog_perc_id","%id. target Gorilla gene identical to query gene","homologs"
"621","ggorilla_homolog_perc_id_r1","%id. query gene identical to target Gorilla gene","homologs"
"622","ggorilla_homolog_goc_score","Gorilla Gene-order conservation score","homologs"
"623","ggorilla_homolog_wga_coverage","Gorilla Whole-genome alignment coverage","homologs"
"624","ggorilla_homolog_dn","dN with Gorilla","homologs"
"625","ggorilla_homolog_ds","dS with Gorilla","homologs"
"626","ggorilla_homolog_orthology_confidence","Gorilla orthology confidence [0 low, 1 high]","homologs"
"627","cporcellus_homolog_ensembl_gene","Guinea Pig gene stable ID","homologs"
"628","cporcellus_homolog_associated_gene_name","Guinea Pig associated gene name","homologs"
"629","cporcellus_homolog_ensembl_peptide","Guinea Pig protein or transcript stable ID","homologs"
"630","cporcellus_homolog_chromosome","Guinea Pig chromosome/scaffold name","homologs"
"631","cporcellus_homolog_chrom_start","Guinea Pig chromosome/scaffold start (bp)","homologs"
"632","cporcellus_homolog_chrom_end","Guinea Pig chromosome/scaffold end (bp)","homologs"
"633","cporcellus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"634","cporcellus_homolog_subtype","Last common ancestor with Guinea Pig","homologs"
"635","cporcellus_homolog_orthology_type","Guinea Pig homology type","homologs"
"636","cporcellus_homolog_perc_id","%id. target Guinea Pig gene identical to query gene","homologs"
"637","cporcellus_homolog_perc_id_r1","%id. query gene identical to target Guinea Pig gene","homologs"
"638","cporcellus_homolog_goc_score","Guinea Pig Gene-order conservation score","homologs"
"639","cporcellus_homolog_wga_coverage","Guinea Pig Whole-genome alignment coverage","homologs"
"640","cporcellus_homolog_dn","dN with Guinea Pig","homologs"
"641","cporcellus_homolog_ds","dS with Guinea Pig","homologs"
"642","cporcellus_homolog_orthology_confidence","Guinea Pig orthology confidence [0 low, 1 high]","homologs"
"643","eeuropaeus_homolog_ensembl_gene","Hedgehog gene stable ID","homologs"
"644","eeuropaeus_homolog_associated_gene_name","Hedgehog associated gene name","homologs"
"645","eeuropaeus_homolog_ensembl_peptide","Hedgehog protein or transcript stable ID","homologs"
"646","eeuropaeus_homolog_chromosome","Hedgehog chromosome/scaffold name","homologs"
"647","eeuropaeus_homolog_chrom_start","Hedgehog chromosome/scaffold start (bp)","homologs"
"648","eeuropaeus_homolog_chrom_end","Hedgehog chromosome/scaffold end (bp)","homologs"
"649","eeuropaeus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"650","eeuropaeus_homolog_subtype","Last common ancestor with Hedgehog","homologs"
"651","eeuropaeus_homolog_orthology_type","Hedgehog homology type","homologs"
"652","eeuropaeus_homolog_perc_id","%id. target Hedgehog gene identical to query gene","homologs"
"653","eeuropaeus_homolog_perc_id_r1","%id. query gene identical to target Hedgehog gene","homologs"
"654","eeuropaeus_homolog_goc_score","Hedgehog Gene-order conservation score","homologs"
"655","eeuropaeus_homolog_wga_coverage","Hedgehog Whole-genome alignment coverage","homologs"
"656","eeuropaeus_homolog_dn","dN with Hedgehog","homologs"
"657","eeuropaeus_homolog_ds","dS with Hedgehog","homologs"
"658","eeuropaeus_homolog_orthology_confidence","Hedgehog orthology confidence [0 low, 1 high]","homologs"
"659","ecaballus_homolog_ensembl_gene","Horse gene stable ID","homologs"
"660","ecaballus_homolog_associated_gene_name","Horse associated gene name","homologs"
"661","ecaballus_homolog_ensembl_peptide","Horse protein or transcript stable ID","homologs"
"662","ecaballus_homolog_chromosome","Horse chromosome/scaffold name","homologs"
"663","ecaballus_homolog_chrom_start","Horse chromosome/scaffold start (bp)","homologs"
"664","ecaballus_homolog_chrom_end","Horse chromosome/scaffold end (bp)","homologs"
"665","ecaballus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"666","ecaballus_homolog_subtype","Last common ancestor with Horse","homologs"
"667","ecaballus_homolog_orthology_type","Horse homology type","homologs"
"668","ecaballus_homolog_perc_id","%id. target Horse gene identical to query gene","homologs"
"669","ecaballus_homolog_perc_id_r1","%id. query gene identical to target Horse gene","homologs"
"670","ecaballus_homolog_goc_score","Horse Gene-order conservation score","homologs"
"671","ecaballus_homolog_wga_coverage","Horse Whole-genome alignment coverage","homologs"
"672","ecaballus_homolog_dn","dN with Horse","homologs"
"673","ecaballus_homolog_ds","dS with Horse","homologs"
"674","ecaballus_homolog_orthology_confidence","Horse orthology confidence [0 low, 1 high]","homologs"
"675","pcapensis_homolog_ensembl_gene","Hyrax gene stable ID","homologs"
"676","pcapensis_homolog_associated_gene_name","Hyrax associated gene name","homologs"
"677","pcapensis_homolog_ensembl_peptide","Hyrax protein or transcript stable ID","homologs"
"678","pcapensis_homolog_chromosome","Hyrax chromosome/scaffold name","homologs"
"679","pcapensis_homolog_chrom_start","Hyrax chromosome/scaffold start (bp)","homologs"
"680","pcapensis_homolog_chrom_end","Hyrax chromosome/scaffold end (bp)","homologs"
"681","pcapensis_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"682","pcapensis_homolog_subtype","Last common ancestor with Hyrax","homologs"
"683","pcapensis_homolog_orthology_type","Hyrax homology type","homologs"
"684","pcapensis_homolog_perc_id","%id. target Hyrax gene identical to query gene","homologs"
"685","pcapensis_homolog_perc_id_r1","%id. query gene identical to target Hyrax gene","homologs"
"686","pcapensis_homolog_goc_score","Hyrax Gene-order conservation score","homologs"
"687","pcapensis_homolog_wga_coverage","Hyrax Whole-genome alignment coverage","homologs"
"688","pcapensis_homolog_dn","dN with Hyrax","homologs"
"689","pcapensis_homolog_ds","dS with Hyrax","homologs"
"690","pcapensis_homolog_orthology_confidence","Hyrax orthology confidence [0 low, 1 high]","homologs"
"691","dordii_homolog_ensembl_gene","Kangaroo rat gene stable ID","homologs"
"692","dordii_homolog_associated_gene_name","Kangaroo rat associated gene name","homologs"
"693","dordii_homolog_ensembl_peptide","Kangaroo rat protein or transcript stable ID","homologs"
"694","dordii_homolog_chromosome","Kangaroo rat chromosome/scaffold name","homologs"
"695","dordii_homolog_chrom_start","Kangaroo rat chromosome/scaffold start (bp)","homologs"
"696","dordii_homolog_chrom_end","Kangaroo rat chromosome/scaffold end (bp)","homologs"
"697","dordii_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"698","dordii_homolog_subtype","Last common ancestor with Kangaroo rat","homologs"
"699","dordii_homolog_orthology_type","Kangaroo rat homology type","homologs"
"700","dordii_homolog_perc_id","%id. target Kangaroo rat gene identical to query gene","homologs"
"701","dordii_homolog_perc_id_r1","%id. query gene identical to target Kangaroo rat gene","homologs"
"702","dordii_homolog_goc_score","Kangaroo rat Gene-order conservation score","homologs"
"703","dordii_homolog_wga_coverage","Kangaroo rat Whole-genome alignment coverage","homologs"
"704","dordii_homolog_dn","dN with Kangaroo rat","homologs"
"705","dordii_homolog_ds","dS with Kangaroo rat","homologs"
"706","dordii_homolog_orthology_confidence","Kangaroo rat orthology confidence [0 low, 1 high]","homologs"
"707","pmarinus_homolog_ensembl_gene","Lamprey gene stable ID","homologs"
"708","pmarinus_homolog_associated_gene_name","Lamprey associated gene name","homologs"
"709","pmarinus_homolog_ensembl_peptide","Lamprey protein or transcript stable ID","homologs"
"710","pmarinus_homolog_chromosome","Lamprey chromosome/scaffold name","homologs"
"711","pmarinus_homolog_chrom_start","Lamprey chromosome/scaffold start (bp)","homologs"
"712","pmarinus_homolog_chrom_end","Lamprey chromosome/scaffold end (bp)","homologs"
"713","pmarinus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"714","pmarinus_homolog_subtype","Last common ancestor with Lamprey","homologs"
"715","pmarinus_homolog_orthology_type","Lamprey homology type","homologs"
"716","pmarinus_homolog_perc_id","%id. target Lamprey gene identical to query gene","homologs"
"717","pmarinus_homolog_perc_id_r1","%id. query gene identical to target Lamprey gene","homologs"
"718","pmarinus_homolog_goc_score","Lamprey Gene-order conservation score","homologs"
"719","pmarinus_homolog_wga_coverage","Lamprey Whole-genome alignment coverage","homologs"
"720","pmarinus_homolog_dn","dN with Lamprey","homologs"
"721","pmarinus_homolog_ds","dS with Lamprey","homologs"
"722","pmarinus_homolog_orthology_confidence","Lamprey orthology confidence [0 low, 1 high]","homologs"
"723","etelfairi_homolog_ensembl_gene","Lesser hedgehog tenrec gene stable ID","homologs"
"724","etelfairi_homolog_associated_gene_name","Lesser hedgehog tenrec associated gene name","homologs"
"725","etelfairi_homolog_ensembl_peptide","Lesser hedgehog tenrec protein or transcript stable ID","homologs"
"726","etelfairi_homolog_chromosome","Lesser hedgehog tenrec chromosome/scaffold name","homologs"
"727","etelfairi_homolog_chrom_start","Lesser hedgehog tenrec chromosome/scaffold start (bp)","homologs"
"728","etelfairi_homolog_chrom_end","Lesser hedgehog tenrec chromosome/scaffold end (bp)","homologs"
"729","etelfairi_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"730","etelfairi_homolog_subtype","Last common ancestor with Lesser hedgehog tenrec","homologs"
"731","etelfairi_homolog_orthology_type","Lesser hedgehog tenrec homology type","homologs"
"732","etelfairi_homolog_perc_id","%id. target Lesser hedgehog tenrec gene identical to query gene","homologs"
"733","etelfairi_homolog_perc_id_r1","%id. query gene identical to target Lesser hedgehog tenrec gene","homologs"
"734","etelfairi_homolog_goc_score","Lesser hedgehog tenrec Gene-order conservation score","homologs"
"735","etelfairi_homolog_wga_coverage","Lesser hedgehog tenrec Whole-genome alignment coverage","homologs"
"736","etelfairi_homolog_dn","dN with Lesser hedgehog tenrec","homologs"
"737","etelfairi_homolog_ds","dS with Lesser hedgehog tenrec","homologs"
"738","etelfairi_homolog_orthology_confidence","Lesser hedgehog tenrec orthology confidence [0 low, 1 high]","homologs"
"739","mmulatta_homolog_ensembl_gene","Macaque gene stable ID","homologs"
"740","mmulatta_homolog_associated_gene_name","Macaque associated gene name","homologs"
"741","mmulatta_homolog_ensembl_peptide","Macaque protein or transcript stable ID","homologs"
"742","mmulatta_homolog_chromosome","Macaque chromosome/scaffold name","homologs"
"743","mmulatta_homolog_chrom_start","Macaque chromosome/scaffold start (bp)","homologs"
"744","mmulatta_homolog_chrom_end","Macaque chromosome/scaffold end (bp)","homologs"
"745","mmulatta_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"746","mmulatta_homolog_subtype","Last common ancestor with Macaque","homologs"
"747","mmulatta_homolog_orthology_type","Macaque homology type","homologs"
"748","mmulatta_homolog_perc_id","%id. target Macaque gene identical to query gene","homologs"
"749","mmulatta_homolog_perc_id_r1","%id. query gene identical to target Macaque gene","homologs"
"750","mmulatta_homolog_goc_score","Macaque Gene-order conservation score","homologs"
"751","mmulatta_homolog_wga_coverage","Macaque Whole-genome alignment coverage","homologs"
"752","mmulatta_homolog_dn","dN with Macaque","homologs"
"753","mmulatta_homolog_ds","dS with Macaque","homologs"
"754","mmulatta_homolog_orthology_confidence","Macaque orthology confidence [0 low, 1 high]","homologs"
"755","cjacchus_homolog_ensembl_gene","Marmoset gene stable ID","homologs"
"756","cjacchus_homolog_associated_gene_name","Marmoset associated gene name","homologs"
"757","cjacchus_homolog_ensembl_peptide","Marmoset protein or transcript stable ID","homologs"
"758","cjacchus_homolog_chromosome","Marmoset chromosome/scaffold name","homologs"
"759","cjacchus_homolog_chrom_start","Marmoset chromosome/scaffold start (bp)","homologs"
"760","cjacchus_homolog_chrom_end","Marmoset chromosome/scaffold end (bp)","homologs"
"761","cjacchus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"762","cjacchus_homolog_subtype","Last common ancestor with Marmoset","homologs"
"763","cjacchus_homolog_orthology_type","Marmoset homology type","homologs"
"764","cjacchus_homolog_perc_id","%id. target Marmoset gene identical to query gene","homologs"
"765","cjacchus_homolog_perc_id_r1","%id. query gene identical to target Marmoset gene","homologs"
"766","cjacchus_homolog_goc_score","Marmoset Gene-order conservation score","homologs"
"767","cjacchus_homolog_wga_coverage","Marmoset Whole-genome alignment coverage","homologs"
"768","cjacchus_homolog_dn","dN with Marmoset","homologs"
"769","cjacchus_homolog_ds","dS with Marmoset","homologs"
"770","cjacchus_homolog_orthology_confidence","Marmoset orthology confidence [0 low, 1 high]","homologs"
"771","olatipes_homolog_ensembl_gene","Medaka gene stable ID","homologs"
"772","olatipes_homolog_associated_gene_name","Medaka associated gene name","homologs"
"773","olatipes_homolog_ensembl_peptide","Medaka protein or transcript stable ID","homologs"
"774","olatipes_homolog_chromosome","Medaka chromosome/scaffold name","homologs"
